	'WHILE'	'TYPE'	'REAL'	'IF'	'DIVIDE'	'PROGRAM'	'stmt'	'ARRAY'	'LESS_EQ'	'assign'	'VAR'	'END'	'DOT'	'RIGHT_PAREN'	'EQ'	'STRING'	'FLOAT'	'io'	'MINUS'	'decl'	'INT'	'OF'	'NOT'	'COLON'	'rel_op'	'ident_list'	'stmt_list'	'RIGHT_BRACKET'	'MOD'	'GREATER'	'INTEGER'	'SEMICOLON'	'PRINT'	'GREATER_EQ'	'COMMA'	'if_stmt'	'TRUE'	'program'	'LEFT_PAREN'	'cond'	'DIV'	'LOOP'	'factor'	'PLUS'	'IDENTIFIER'	'term'	'NOT_EQ'	'BEGIN'	'LESS'	'FALSE'	'decl_list'	'LEFT_BRACKET'	'ELSE'	'while_stmt'	'ASSIGN'	'THEN'	'expr'	'block'	'type'	'MULTIPLICATION'	'var_decl'	
'DIVIDE362'																	'FLOAT461'		'MINUS401'				'NOT411'								'INTEGER451'						'TRUE471'		'LEFT_PAREN421'				'factor363'		'IDENTIFIER431', 'IDENTIFIER441'					'FALSE481'												
'DIV372'																	'FLOAT461'		'MINUS401'				'NOT411'								'INTEGER451'						'TRUE471'		'LEFT_PAREN421'				'factor373'		'IDENTIFIER431', 'IDENTIFIER441'					'FALSE481'												
'MOD382'																	'FLOAT461'		'MINUS401'				'NOT411'								'INTEGER451'						'TRUE471'		'LEFT_PAREN421'				'factor383'		'IDENTIFIER431', 'IDENTIFIER441'					'FALSE481'												
'factor402'					'R40'				'R40'					'R40'	'R40'				'R40'						'R40'			'R40'	'R40'	'R40'		'R40'		'R40'							'R40'	'R40'		'R40'			'R40'		'R40'							'R40'				'R40'		
'factor412'					'R41'				'R41'					'R41'	'R41'				'R41'						'R41'			'R41'	'R41'	'R41'		'R41'		'R41'							'R41'	'R41'		'R41'			'R41'		'R41'							'R41'				'R41'		
'expr422', 'expr321', 'expr331'														'RIGHT_PAREN423'					'MINUS332'																									'PLUS322'																		
'LEFT_BRACKET442'																	'FLOAT461'		'MINUS401'				'NOT411'								'INTEGER451'						'TRUE471'		'LEFT_PAREN421'				'factor391'		'IDENTIFIER431', 'IDENTIFIER441'	'term341', 'term351', 'term361', 'term371', 'term381'				'FALSE481'							'expr443', 'expr321', 'expr331'					
'LOOP293'	'WHILE291'	'TYPE191'		'IF271', 'IF281'			'stmt294'			'assign131'								'io161'		'decl121'						'ident_list181'							'PRINT301', 'PRINT311'			'if_stmt141'									'IDENTIFIER231', 'IDENTIFIER241', 'IDENTIFIER251', 'IDENTIFIER261'			'BEGIN71', 'BEGIN81', 'BEGIN91'						'while_stmt151'				'block171'				
'DOT27'																																																														
'decl_list53'																																																'R5'										'R5'				
'LEFT_BRACKET222'																															'INTEGER223'																															
'type194'																																'R19'																														
'RIGHT_BRACKET264'																																																							'ASSIGN265'							
'stmt274', 'stmt284'	'R28'	'R28'		'R28'			'R28'			'R28'		'R28'						'R28'		'R28'						'R28'	'R28'						'R28'			'R28'									'R28'			'R28'					'ELSE275', 'R28'	'R28'				'R28'				
'IDENTIFIER231', 'IDENTIFIER241', 'IDENTIFIER251', 'IDENTIFIER261'																								'R23'											'COMMA242'																	'LEFT_BRACKET262'			'ASSIGN252'							
'term323', 'term351', 'term361', 'term371', 'term381'					'DIVIDE362'				'R32'					'R32'	'R32'				'R32'						'R32'			'R32'	'MOD382'	'R32'		'R32'		'R32'							'DIV372'	'R32'		'R32'			'R32'		'R32'							'R32'				'MULTIPLICATION352'		
'term333', 'term351', 'term361', 'term371', 'term381'					'DIVIDE362'				'R33'					'R33'	'R33'				'R33'						'R33'			'R33'	'MOD382'	'R33'		'R33'		'R33'							'DIV372'	'R33'		'R33'			'R33'		'R33'							'R33'				'MULTIPLICATION352'		
'expr493', 'expr321', 'expr331'																			'MINUS332'																							'R49'		'PLUS322'												'R49'						
'factor353'					'R35'				'R35'					'R35'	'R35'				'R35'						'R35'			'R35'	'R35'	'R35'		'R35'		'R35'							'R35'	'R35'		'R35'			'R35'		'R35'							'R35'				'R35'		
'factor363'					'R36'				'R36'					'R36'	'R36'				'R36'						'R36'			'R36'	'R36'	'R36'		'R36'		'R36'							'R36'	'R36'		'R36'			'R36'		'R36'							'R36'				'R36'		
'factor373'					'R37'				'R37'					'R37'	'R37'				'R37'						'R37'			'R37'	'R37'	'R37'		'R37'		'R37'							'R37'	'R37'		'R37'			'R37'		'R37'							'R37'				'R37'		
'factor383'					'R38'				'R38'					'R38'	'R38'				'R38'						'R38'			'R38'	'R38'	'R38'		'R38'		'R38'							'R38'	'R38'		'R38'			'R38'		'R38'							'R38'				'R38'		
'RIGHT_PAREN423'					'R42'				'R42'					'R42'	'R42'				'R42'						'R42'			'R42'	'R42'	'R42'		'R42'		'R42'							'R42'	'R42'		'R42'			'R42'		'R42'							'R42'				'R42'		
'expr443', 'expr321', 'expr331'																			'MINUS332'									'RIGHT_BRACKET444'																'PLUS322'																		
'stmt294'	'R29'	'R29'		'R29'			'R29'			'R29'		'R29'						'R29'		'R29'						'R29'	'R29'						'R29'			'R29'									'R29'			'R29'					'R29'	'R29'				'R29'				
'INTEGER223'																												'RIGHT_BRACKET224'																																		
'ASSIGN265'																	'FLOAT461'		'MINUS401'				'NOT411'								'INTEGER451'						'TRUE471'		'LEFT_PAREN421'				'factor391'		'IDENTIFIER431', 'IDENTIFIER441'	'term341', 'term351', 'term361', 'term371', 'term381'				'FALSE481'							'expr266', 'expr321', 'expr331'					
'ELSE275'	'WHILE291'	'TYPE191'		'IF271', 'IF281'			'stmt276'			'assign131'								'io161'		'decl121'						'ident_list181'							'PRINT301', 'PRINT311'			'if_stmt141'									'IDENTIFIER231', 'IDENTIFIER241', 'IDENTIFIER251', 'IDENTIFIER261'			'BEGIN71', 'BEGIN81', 'BEGIN91'						'while_stmt151'				'block171'				
'RIGHT_BRACKET444'					'R44'				'R44'					'R44'	'R44'				'R44'						'R44'			'R44'	'R44'	'R44'		'R44'		'R44'							'R44'	'R44'		'R44'			'R44'		'R44'							'R44'				'R44'		
'RIGHT_BRACKET224'																						'OF225'																																								
'expr266', 'expr321', 'expr331'																			'MINUS332'													'R26'												'PLUS322'																		
'stmt276'	'R27'	'R27'		'R27'			'R27'			'R27'		'R27'						'R27'		'R27'						'R27'	'R27'						'R27'			'R27'									'R27'			'R27'					'R27'	'R27'				'R27'				
'OF225'			'REAL211'					'ARRAY221'													'INT201'																																						'type226'			
'type226'																																'R22'																														
