;'BEGIN';'decl_list';'PROGRAM';'COLON';'LEFT_PAREN';'REAL';'NOT';'var_decl';'WHILE';'factor';'SEMICOLON';'assign';'type';'expr';'block_without_if';'DIVIDE';'CHAR';'DOT';'DIV';'VAR';'PRINT';'stmt_list';'IDENTIFIER';'MULTIPLICATION';'GREATER_EQ';'LEFT_BRACKET';'block';'full_id';'ARRAY';'IF';'RIGHT_BRACKET';'cond';'EQ';'term';'MOD';'ELSE';'INTEGER';'STRING';'FALSE';'THEN';'io';'program';'NOT_EQ';'GREATER';'while_stmt';'ident_list';'FLOAT';'RIGHT_PAREN';'TYPE';'END';'out';'COMMA';'rel_op';'stmt';'OF';'PLUS';'MINUS';'TRUE';'stmt_without_if';'LESS';'decl';'INT';'if_stmt';'READ';'LESS_EQ';'ASSIGN'
'program';;;'PROGRAM11','PROGRAM21','PROGRAM31';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;'OK';;;;;;;;;;;;;;;;;;;;;;;;
'PROGRAM11','PROGRAM21','PROGRAM31';;;;;;;;;;;;;;;;;;;;;;;'IDENTIFIER12','IDENTIFIER22','IDENTIFIER32';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'FLOAT451';'R45';;;;;;;;'R45';;'R45';'R45';;;;'R45';;;'R45';;'R45';;'R45';'R45';'R45';;'R45';'R45';;'R45';'R45';;'R45';;'R45';;;;;'R45';'R45';;'R45';'R45';'R45';;;'R45';;;'R45';;'R45';'R45';;'R45';'R45';;;'R45';;;'R45';'R45';'R45';
'TRUE461';'R46';;;;;;;;'R46';;'R46';'R46';;;;'R46';;;'R46';;'R46';;'R46';'R46';'R46';;'R46';'R46';;'R46';'R46';;'R46';;'R46';;;;;'R46';'R46';;'R46';'R46';'R46';;;'R46';;;'R46';;'R46';'R46';;'R46';'R46';;;'R46';;;'R46';'R46';'R46';
'FALSE471';'R47';;;;;;;;'R47';;'R47';'R47';;;;'R47';;;'R47';;'R47';;'R47';'R47';'R47';;'R47';'R47';;'R47';'R47';;'R47';;'R47';;;;;'R47';'R47';;'R47';'R47';'R47';;;'R47';;;'R47';;'R47';'R47';;'R47';'R47';;;'R47';;;'R47';'R47';'R47';
'cond282';'BEGIN71';;;;;;;;'WHILE281';;'SEMICOLON161';'assign101';;;;;;;;;'PRINT291','PRINT301';;'IDENTIFIER561','IDENTIFIER571';;;;'block151';'full_id251';;'IF261','IF271';;;;;;;;;;;'io131';;;;'while_stmt121';;;;;;'out141';;;'stmt283';;;;;;;;;'if_stmt111';'READ311';;
'expr292','expr321','expr331';;;;;;;;;;;'R29';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;'PLUS322';'MINUS332';;;;;;;;;
'STRING302';;;;;;;;;;;'R30';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'IDENTIFIER312';;;;;;;;;;;'R31';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'LEFT_BRACKET572';;;;;'LEFT_PAREN431';;'NOT421';;;'factor391';;;;'expr573','expr321','expr331';;;;;;;;;'IDENTIFIER561','IDENTIFIER571';;;;;'full_id401';;;;;;'term341','term351','term361','term371','term381';;;'INTEGER441';;'FALSE471';;;;;;;;'FLOAT451';;;;;;;;;;'MINUS411';'TRUE461';;;;;;;;
'DOT26';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'SEMICOLON52','SEMICOLON62';'R6';'decl_list53';;;;;;;;;;;;;;;;;;;;;'IDENTIFIER231','IDENTIFIER241';;;;'R6';;;;;;;;;;;;;;;;;;;'ident_list171';;;'TYPE181';;;;;;;;;;;;'decl51','decl61';;;;;
'COLON172';;;;;;'REAL201';;;;;;;'type173';;;;'CHAR211';;;;;;;;;;;;'ARRAY221';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;'INT191';;;;
'IDENTIFIER182';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;'EQ183';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'COMMA242';;;;;;;;;;;;;;;;;;;;;;;'IDENTIFIER231','IDENTIFIER241';;;;;;;;;;;;;;;;;;;;;;;'ident_list243';;;;;;;;;;;;;;;;;;;;
'expr253','expr321','expr331';;;;;;;;;;;'R25';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;'PLUS322';'MINUS332';;;;;;;;;
'THEN263','THEN273';'BEGIN71';;;;;;;;'WHILE281';;'SEMICOLON161';'assign101';;;;;;;;;'PRINT291','PRINT301';;'IDENTIFIER561','IDENTIFIER571';;;;'block151';'full_id251';;'IF261','IF271';;;;;;;;;;;'io131';;;;'while_stmt121';;;;;;'out141';;;'stmt264','stmt274';;;;;;;;;'if_stmt111';'READ311';;
'PLUS322';;;;;'LEFT_PAREN431';;'NOT421';;;'factor391';;;;;;;;;;;;;'IDENTIFIER561','IDENTIFIER571';;;;;'full_id401';;;;;;'term323','term351','term361','term371','term381';;;'INTEGER441';;'FALSE471';;;;;;;;'FLOAT451';;;;;;;;;;'MINUS411';'TRUE461';;;;;;;;
'MINUS332';;;;;'LEFT_PAREN431';;'NOT421';;;'factor391';;;;;;;;;;;;;'IDENTIFIER561','IDENTIFIER571';;;;;'full_id401';;;;;;'term333','term351','term361','term371','term381';;;'INTEGER441';;'FALSE471';;;;;;;;'FLOAT451';;;;;;;;;;'MINUS411';'TRUE461';;;;;;;;
'rel_op482';;;;;'LEFT_PAREN431';;'NOT421';;;'factor391';;;;'expr483','expr321','expr331';;;;;;;;;'IDENTIFIER561','IDENTIFIER571';;;;;'full_id401';;;;;;'term341','term351','term361','term371','term381';;;'INTEGER441';;'FALSE471';;;;;;;;'FLOAT451';;;;;;;;;;'MINUS411';'TRUE461';;;;;;;;
'EQ501';;;;;'R50';;'R50';;;'R50';;;;'R50';;;;;;;;;'R50';;;;;'R50';;;;;;'R50';;;'R50';;'R50';;;;;;;;'R50';;;;;;;;;;'R50';'R50';;;;;;;;
'NOT_EQ511';;;;;'R51';;'R51';;;'R51';;;;'R51';;;;;;;;;'R51';;;;;'R51';;;;;;'R51';;;'R51';;'R51';;;;;;;;'R51';;;;;;;;;;'R51';'R51';;;;;;;;
'LESS521';;;;;'R52';;'R52';;;'R52';;;;'R52';;;;;;;;;'R52';;;;;'R52';;;;;;'R52';;;'R52';;'R52';;;;;;;;'R52';;;;;;;;;;'R52';'R52';;;;;;;;
'GREATER531';;;;;'R53';;'R53';;;'R53';;;;'R53';;;;;;;;;'R53';;;;;'R53';;;;;;'R53';;;'R53';;'R53';;;;;;;;'R53';;;;;;;;;;'R53';'R53';;;;;;;;
'LESS_EQ541';;;;;'R54';;'R54';;;'R54';;;;'R54';;;;;;;;;'R54';;;;;'R54';;;;;;'R54';;;'R54';;'R54';;;;;;;;'R54';;;;;;;;;;'R54';'R54';;;;;;;;
'GREATER_EQ551';;;;;'R55';;'R55';;;'R55';;;;'R55';;;;;;;;;'R55';;;;;'R55';;;;;;'R55';;;'R55';;'R55';;;;;;;;'R55';;;;;;;;;;'R55';'R55';;;;;;;;
'MULTIPLICATION352';;;;;'LEFT_PAREN431';;'NOT421';;;'factor353';;;;;;;;;;;;;'IDENTIFIER561','IDENTIFIER571';;;;;'full_id401';;;;;;;;;'INTEGER441';;'FALSE471';;;;;;;;'FLOAT451';;;;;;;;;;'MINUS411';'TRUE461';;;;;;;;
'DIVIDE362';;;;;'LEFT_PAREN431';;'NOT421';;;'factor363';;;;;;;;;;;;;'IDENTIFIER561','IDENTIFIER571';;;;;'full_id401';;;;;;;;;'INTEGER441';;'FALSE471';;;;;;;;'FLOAT451';;;;;;;;;;'MINUS411';'TRUE461';;;;;;;;
'DIV372';;;;;'LEFT_PAREN431';;'NOT421';;;'factor373';;;;;;;;;;;;;'IDENTIFIER561','IDENTIFIER571';;;;;'full_id401';;;;;;;;;'INTEGER441';;'FALSE471';;;;;;;;'FLOAT451';;;;;;;;;;'MINUS411';'TRUE461';;;;;;;;
'MOD382';;;;;'LEFT_PAREN431';;'NOT421';;;'factor383';;;;;;;;;;;;;'IDENTIFIER561','IDENTIFIER571';;;;;'full_id401';;;;;;;;;'INTEGER441';;'FALSE471';;;;;;;;'FLOAT451';;;;;;;;;;'MINUS411';'TRUE461';;;;;;;;
